"ACCOUNT_NUM","APPRAISAL_YR","TOT_VAL","CITY_EFF_YR","CITY_EXP_YR","CITY_EXEMPTION_PCT","CITY_BASE_VAL","CITY_VAL_DIF","CITY_EXEMPTION_AMT","CNTY_EFF_YR","CNTY_EXP_YR","CNTY_EXEMPTION_PCT","CNTY_BASE_VAL","CNTY_VAL_DIF","CNTY_EXEMPTION_AMT","ISD_EFF_YR","ISD_EXP_YR","ISD_EXEMPTION_PCT","ISD_BASE_VAL","ISD_VAL_DIF","ISD_EXEMPTION_AMT","COLL_EFF_YR","COLL_EXP_YR","COLL_EXEMPTION_PCT","COLL_BASE_VAL","COLL_VAL_DIF","COLL_EXEMPTION_AMT","SPEC_EFF_YR","SPEC_EXP_YR","SPEC_EXEMPTION_PCT","SPEC_BASE_VAL","SPEC_VAL_DIF","SPEC_EXEMPTION_AMT"
"306525700A0010000","2019","11625120.00","2017","2026",".9000","194500.00","11430620.00","10287558.00","0","0",".0000",".00","11625120.00",".00","0","0",".0000",".00","11625120.00",".00","0","0",".0000",".00","11625120.00",".00","0","0",".0000",".00","11625120.00",".00"
"320054800A0010000","2019","15750000.00","0","0",".0000",".00","15750000.00",".00","0","0",".0000",".00","15750000.00",".00","0","0",".0000",".00","15750000.00",".00","0","0",".0000",".00","15750000.00",".00","2019","2055",".2285",".00","15750000.00","3598875.00"
"320054900A0010000","2019","503180.00","0","0",".0000",".00","503180.00",".00","0","0",".0000",".00","503180.00",".00","0","0",".0000",".00","503180.00",".00","0","0",".0000",".00","503180.00",".00","2019","2055",".7619",".00","503180.00","383373.00"
"320054900B0020000","2019","509160.00","0","0",".0000",".00","509160.00",".00","0","0",".0000",".00","509160.00",".00","0","0",".0000",".00","509160.00",".00","0","0",".0000",".00","509160.00",".00","2019","2055",".7789",".00","509160.00","396585.00"
"180012100A0020000","2019","69157430.00","2014","2023",".7500","3587567.00","65569863.00","40441442.00","2014","2023",".5000","3587567.00","65569863.00","32784932.00","0","0",".0000",".00","69157430.00",".00","0","0",".0000",".00","69157430.00",".00","0","0",".0000",".00","69157430.00",".00"
"18002010010010000","2019","6279680.00","2017","2021",".7500","1058480.00","5221200.00","2826188.00","0","0",".0000",".00","6279680.00",".00","0","0",".0000",".00","6279680.00",".00","0","0",".0000",".00","6279680.00",".00","0","0",".0000",".00","6279680.00",".00"
"320054900C0120000","2019","473440.00","0","0",".0000",".00","473440.00",".00","0","0",".0000",".00","473440.00",".00","0","0",".0000",".00","473440.00",".00","0","0",".0000",".00","473440.00",".00","2019","2055",".7825",".00","473440.00","370467.00"
"320054900C0320000","2019","450000.00","0","0",".0000",".00","450000.00",".00","0","0",".0000",".00","450000.00",".00","0","0",".0000",".00","450000.00",".00","0","0",".0000",".00","450000.00",".00","2019","2055",".7690",".00","450000.00","346050.00"
"320054900C0330000","2019","490000.00","0","0",".0000",".00","490000.00",".00","0","0",".0000",".00","490000.00",".00","0","0",".0000",".00","490000.00",".00","0","0",".0000",".00","490000.00",".00","2019","2055",".7704",".00","490000.00","377496.00"
"320054900C0370000","2019","409000.00","0","0",".0000",".00","409000.00",".00","0","0",".0000",".00","409000.00",".00","0","0",".0000",".00","409000.00",".00","0","0",".0000",".00","409000.00",".00","2019","2055",".7651",".00","409000.00","312926.00"
"321077100B0120000","2019","469690.00","0","0",".0000",".00","469690.00",".00","0","0",".0000",".00","469690.00",".00","0","0",".0000",".00","469690.00",".00","0","0",".0000",".00","469690.00",".00","2019","2050",".7701",".00","469690.00","361708.00"
"321077100B0150000","2019","492730.00","0","0",".0000",".00","492730.00",".00","0","0",".0000",".00","492730.00",".00","0","0",".0000",".00","492730.00",".00","0","0",".0000",".00","492730.00",".00","2019","2050",".7715",".00","492730.00","380141.00"
"321077100B0200000","2019","534200.00","0","0",".0000",".00","534200.00",".00","0","0",".0000",".00","534200.00",".00","0","0",".0000",".00","534200.00",".00","0","0",".0000",".00","534200.00",".00","2019","2050",".7544",".00","534200.00","403000.00"
