"ACCOUNT_NUM","APPRAISAL_YR","IMPR_VAL","LAND_VAL","LAND_AG_EXEMPT","AG_USE_VAL","TOT_VAL","HMSTD_CAP_VAL","REVAL_YR","PREV_REVAL_YR","PREV_MKT_VAL","TOT_CONTRIB_AMT","TAXPAYER_REP","CITY_JURIS_DESC","COUNTY_JURIS_DESC","ISD_JURIS_DESC","HOSPITAL_JURIS_DESC","COLLEGE_JURIS_DESC","SPECIAL_DIST_JURIS_DESC","CITY_SPLIT_PCT","COUNTY_SPLIT_PCT","ISD_SPLIT_PCT","HOSPITAL_SPLIT_PCT","COLLEGE_SPLIT_PCT","SPECIAL_DIST_SPLIT_PCT","CITY_TAXABLE_VAL","COUNTY_TAXABLE_VAL","ISD_TAXABLE_VAL","HOSPITAL_TAXABLE_VAL","COLLEGE_TAXABLE_VAL","SPECIAL_DIST_TAXABLE_VAL","CITY_CEILING_VALUE","COUNTY_CEILING_VALUE","ISD_CEILING_VALUE","HOSPITAL_CEILING_VALUE","COLLEGE_CEILING_VALUE","SPECIAL_DIST_CEILING_VALUE","VID_IND","GIS_PARCEL_ID","APPRAISAL_METH_CD","RENDITION_PENALTY","DIVISION_CD","EXTRNL_CNTY_ACCT","EXTRNL_CITY_ACCT","P_BUS_TYP_CD","BLDG_CLASS_CD","SPTD_CODE"
"00000399301000000","2019","212640.00","145000.00","0","0","357640.00","357640.00","2019","2018","373710.00",".00","069 LEWIS PROPERTY TAX SERVICES","DALLAS","DALLAS COUNTY","DALLAS ISD","PARKLAND HOSPITAL","DALLAS CO COMMUNITY COLLEGE","UNASSIGNED",".00",".00",".00",".00",".00",".00","186112","217112","251876","217112","211112","0",".00","360.26","1541.45","",".00","","N","00000399301000000","2","","RES","","000543700401800","","15","A11"
"00000185587000000","2019","233130.00","481870.00","0","0","715000.00","715000.00","2019","2018","600680.00",".00","069 LEWIS PROPERTY TAX SERVICES","DALLAS","DALLAS COUNTY","DALLAS ISD","PARKLAND HOSPITAL","DALLAS CO COMMUNITY COLLEGE","UNASSIGNED",".00",".00",".00",".00",".00",".00","715000","715000","715000","715000","715000","0","","","","","","","N","00000185587000000","1","","RES","","000191600000800","","08","B11"
"00000191356000000","2019","24500.00","262500.00","0","0","287000.00","287000.00","2019","2017","147180.00",".00","069 LEWIS PROPERTY TAX SERVICES","DALLAS","DALLAS COUNTY","DALLAS ISD","PARKLAND HOSPITAL","DALLAS CO COMMUNITY COLLEGE","UNASSIGNED",".00",".00",".00",".00",".00",".00","287000","287000","287000","287000","287000","0","","","","","","","N","00000191356000000","2","","RES","","000197900401100","","04","A11"
"00000794289280000","2019","557090.00","210000.00","0","0","767090.00","767090.00","2019","2018","710000.00",".00","069 LEWIS PROPERTY TAX SERVICES","DALLAS","DALLAS COUNTY","RICHARDSON ISD","PARKLAND HOSPITAL","DALLAS CO COMMUNITY COLLEGE","UNASSIGNED",".00",".00",".00",".00",".00",".00","613672","613672","665381","613672","613672","0","","","","","","","N","00000794289280000","2","","RES","","000815705301500","","21","A11"
"220955800B0130000","2019","100200.00","25000.00","0","0","125200.00","125200.00","2019","2018","146990.00",".00","993 CAMERON APPRAISAL GROUP","DUNCANVILLE","DALLAS COUNTY","DUNCANVILLE ISD","PARKLAND HOSPITAL","DALLAS CO COMMUNITY COLLEGE","UNASSIGNED",".00",".00",".00",".00",".00",".00","125200","125200","125200","125200","125200","0","","","","","","","N","220955800B0130000","1","","RES","","","","14","A11"
"00000356200000100","2019","331500.00","47500.00","0","0","379000.00","379000.00","2018","2016","348990.00",".00","993 CAMERON APPRAISAL GROUP","DALLAS","DALLAS COUNTY","DALLAS ISD","PARKLAND HOSPITAL","DALLAS CO COMMUNITY COLLEGE","UNASSIGNED",".00",".00",".00",".00",".00",".00","303200","303200","316100","303200","303200","0","","","","","","","N","00000356200000100","1","","RES","","","","21","A11"
"002370000D05D0100","2019","14156200.00","2621200.00","0","0","16777400.00","16777400.00","2019","2018","15787710.00",".00","442 RAINBOLT & ALEXANDER INC","DALLAS","DALLAS COUNTY","DALLAS ISD","PARKLAND HOSPITAL","DALLAS CO COMMUNITY COLLEGE","UNASSIGNED",".00",".00",".00",".00",".00",".00","16777400","16777400","16777400","16777400","16777400","0","","","","","","","N","002370000D05D0100","3","","COM","","","","APARTMENT (BRICK EXTERIOR)","B11"
"00000124090000000","2019","241390.00","262010.00","0","0","503400.00","503400.00","2019","2018","465640.00",".00","607 FAIRTAX GROUP LLC","DALLAS","DALLAS COUNTY","DALLAS ISD","PARKLAND HOSPITAL","DALLAS CO COMMUNITY COLLEGE","UNASSIGNED",".00",".00",".00",".00",".00",".00","503400","503400","503400","503400","503400","0","","","","","","","N","00000124090000000","3","","COM","","000076700700600","","OFFICE BUILDING","F10"
"00000709729000000","2019","65000.00","30000.00","0","0","95000.00","95000.00","2019","2018","80000.00",".00","993 CAMERON APPRAISAL GROUP","DALLAS","DALLAS COUNTY","DALLAS ISD","PARKLAND HOSPITAL","DALLAS CO COMMUNITY COLLEGE","UNASSIGNED",".00",".00",".00",".00",".00",".00","95000","95000","95000","95000","95000","0","","","","","","","N","00000709729000000","2","","RES","","000730400702600","","03","A11"
"00000717205000000","2019","209950.00","115000.00","0","0","324950.00","324950.00","2019","2018","360190.00",".00","993 CAMERON APPRAISAL GROUP","DALLAS","DALLAS COUNTY","RICHARDSON ISD","PARKLAND HOSPITAL","DALLAS CO COMMUNITY COLLEGE","UNASSIGNED",".00",".00",".00",".00",".00",".00","259960","259960","267455","259960","259960","0","","","","","","","N","00000717205000000","2","","RES","","000731600701500","","13","A11"
