"ACCOUNT_NUM","APPRAISAL_YR","SORTORDER","EXEMPTION_CD","EXEMPTION","CITY_APPLD_VAL","CNTY_APPLD_VAL","ISD_APPLD_VAL","HOSPITAL_APPLD_VAL","COLLEGE_APPLD_VAL","SPCL_APPLIED_VAL"
"00000625897000000","2019","1","1","HOMESTEAD EXEMPTION","17904.00","17904.00","33952.00","17904.00","17904.00",".00"
"00000625903000000","2019","1","1","HOMESTEAD EXEMPTION","22065.00","22065.00","36032.00","22065.00","22065.00",".00"
"00000625915000000","2019","1","1","HOMESTEAD EXEMPTION","27992.00","27992.00","38996.00","27992.00","27992.00",".00"
"00000625918000000","2019","1","1","HOMESTEAD EXEMPTION","20662.00","20662.00","35331.00","20662.00","20662.00",".00"
"00000625921000000","2019","1","1","HOMESTEAD EXEMPTION","18269.00","18269.00","34134.00","18269.00","18269.00",".00"
"00000625936000000","2019","1","1","HOMESTEAD EXEMPTION","18117.00","18117.00","34058.00","18117.00","18117.00",".00"
"00000625939000000","2019","1","1","HOMESTEAD EXEMPTION","17931.00","17931.00","33965.00","17931.00","17931.00",".00"
"00000625945000000","2019","1","1","HOMESTEAD EXEMPTION","18913.00","18913.00","34456.00","18913.00","18913.00",".00"
"00000625948000000","2019","1","1","HOMESTEAD EXEMPTION","22496.00","22496.00","36248.00","22496.00","22496.00",".00"
"00000625951000000","2019","1","1","HOMESTEAD EXEMPTION","17957.00","17957.00","33978.00","17957.00","17957.00",".00"
"00000625954000000","2019","1","1","HOMESTEAD EXEMPTION","17795.00","17795.00","33897.00","17795.00","17795.00",".00"
"00000625957000000","2019","1","1","HOMESTEAD EXEMPTION","18205.00","18205.00","34102.00","18205.00","18205.00",".00"
"00000625963000000","2019","1","1","HOMESTEAD EXEMPTION","24474.00","24474.00","37237.00","24474.00","24474.00",".00"
"00000625972000000","2019","1","1","HOMESTEAD EXEMPTION","16935.00","16935.00","33467.00","16935.00","16935.00",".00"
"00000625981000000","2019","1","1","HOMESTEAD EXEMPTION","18681.00","18681.00","34340.00","18681.00","18681.00",".00"
"00000625984000000","2019","1","1","HOMESTEAD EXEMPTION","18412.00","18412.00","34206.00","18412.00","18412.00",".00"
"00000625987000000","2019","1","1","HOMESTEAD EXEMPTION","26131.00","26131.00","38065.00","26131.00","26131.00",".00"
"00000625990000000","2019","1","1","HOMESTEAD EXEMPTION","19150.00","19150.00","34575.00","19150.00","19150.00",".00"
"00000625993000000","2019","1","1","HOMESTEAD EXEMPTION","16735.00","16735.00","33367.00","16735.00","16735.00",".00"
"00000625996000000","2019","1","1","HOMESTEAD EXEMPTION","17930.00","17930.00","33964.00","17930.00","17930.00",".00"
"00000625999000000","2019","1","1","HOMESTEAD EXEMPTION","17939.00","17939.00","33969.00","17939.00","17939.00",".00"
"00000626002000000","2019","1","1","HOMESTEAD EXEMPTION","13045.00","13045.00","31272.00","13045.00","13045.00",".00"
"00000626005000000","2019","1","1","HOMESTEAD EXEMPTION","17020.00","17020.00","33510.00","17020.00","17020.00",".00"
"00000626020000000","2019","1","1","HOMESTEAD EXEMPTION","17848.00","17848.00","33924.00","17848.00","17848.00",".00"
"00000626023000000","2019","1","1","HOMESTEAD EXEMPTION","19182.00","19182.00","34591.00","19182.00","19182.00",".00"
"00000626026000000","2019","1","1","HOMESTEAD EXEMPTION","8990.00","8990.00","16995.00","8990.00","8990.00",".00"
"00000626029000000","2019","1","1","HOMESTEAD EXEMPTION","16586.00","16586.00","33293.00","16586.00","16586.00",".00"
"00000626032000000","2019","1","1","HOMESTEAD EXEMPTION","16767.00","16767.00","33383.00","16767.00","16767.00",".00"
"00000626041000000","2019","1","1","HOMESTEAD EXEMPTION","18173.00","18173.00","34086.00","18173.00","18173.00",".00"
"00000626050000000","2019","1","1","HOMESTEAD EXEMPTION","22206.00","22206.00","36103.00","22206.00","22206.00",".00"
"00000626056000000","2019","1","1","HOMESTEAD EXEMPTION","18093.00","18093.00","34046.00","18093.00","18093.00",".00"
"00000626059000000","2019","1","1","HOMESTEAD EXEMPTION","17832.00","17832.00","33916.00","17832.00","17832.00",".00"
"00000626062000000","2019","1","1","HOMESTEAD EXEMPTION","19190.00","19190.00","34595.00","19190.00","19190.00",".00"
"00000626065000000","2019","1","1","HOMESTEAD EXEMPTION","17731.00","17731.00","33865.00","17731.00","17731.00",".00"
"00000626068000000","2019","1","1","HOMESTEAD EXEMPTION","18833.00","18833.00","34416.00","18833.00","18833.00",".00"
"00000626071000000","2019","1","1","HOMESTEAD EXEMPTION","14297.00","14297.00","32148.00","14297.00","14297.00",".00"
"00000626074000000","2019","1","1","HOMESTEAD EXEMPTION","18770.00","18770.00","34385.00","18770.00","18770.00",".00"
"00000626077000000","2019","1","1","HOMESTEAD EXEMPTION","11815.00","11815.00","18407.00","11815.00","11815.00",".00"
"00000626077210000","2019","1","1","HOMESTEAD EXEMPTION","14899.00","14899.00","32449.00","14899.00","14899.00",".00"
"00000626077220000","2019","1","1","HOMESTEAD EXEMPTION","14646.00","14646.00","32323.00","14646.00","14646.00",".00"
"00000626077240000","2019","1","1","HOMESTEAD EXEMPTION","20683.00","20683.00","35341.00","20683.00","20683.00",".00"
"00000626077290000","2019","1","1","HOMESTEAD EXEMPTION","15966.00","15966.00","32983.00","15966.00","15966.00",".00"
"00000626077310000","2019","1","1","HOMESTEAD EXEMPTION","16150.00","16150.00","33075.00","16150.00","16150.00",".00"
"00000626077320000","2019","1","1","HOMESTEAD EXEMPTION","16754.00","16754.00","33377.00","16754.00","16754.00",".00"
"00000626077330000","2019","1","1","HOMESTEAD EXEMPTION","15428.00","15428.00","32714.00","15428.00","15428.00",".00"
"00000626077350000","2019","1","1","HOMESTEAD EXEMPTION","22851.00","22851.00","36425.00","22851.00","22851.00",".00"
"00000626077370000","2019","1","1","HOMESTEAD EXEMPTION","8377.00","8377.00","16688.00","8377.00","8377.00",".00"
"00000626077380000","2019","1","1","HOMESTEAD EXEMPTION","17334.00","17334.00","33667.00","17334.00","17334.00",".00"
"00000626077390000","2019","1","1","HOMESTEAD EXEMPTION","18213.00","18213.00","34106.00","18213.00","18213.00",".00"
"00000626077400000","2019","1","1","HOMESTEAD EXEMPTION","16187.00","16187.00","33093.00","16187.00","16187.00",".00"
"00000626080000000","2019","1","1","HOMESTEAD EXEMPTION","16504.00","16504.00","33252.00","16504.00","16504.00",".00"
"00000626092000000","2019","1","1","HOMESTEAD EXEMPTION","21551.00","21551.00","35775.00","21551.00","21551.00",".00"
"00000626095000000","2019","1","1","HOMESTEAD EXEMPTION","19105.00","19105.00","34552.00","19105.00","19105.00",".00"
"00000626098000000","2019","1","1","HOMESTEAD EXEMPTION","22613.00","22613.00","36306.00","22613.00","22613.00",".00"
"00000626101000000","2019","1","1","HOMESTEAD EXEMPTION","28864.00","28864.00","39432.00","28864.00","28864.00",".00"
"00000626104000000","2019","1","1","HOMESTEAD EXEMPTION","19709.00","19709.00","34854.00","19709.00","19709.00",".00"
"00000626110000000","2019","1","1","HOMESTEAD EXEMPTION","23606.00","23606.00","36803.00","23606.00","23606.00",".00"
"00000626116000000","2019","1","1","HOMESTEAD EXEMPTION","24064.00","24064.00","37032.00","24064.00","24064.00",".00"
"00000626119000000","2019","1","1","HOMESTEAD EXEMPTION","16643.00","16643.00","33321.00","16643.00","16643.00",".00"
"00000626128000000","2019","1","1","HOMESTEAD EXEMPTION","26449.00","26449.00","38224.00","26449.00","26449.00",".00"
"00000626129010000","2019","1","1","HOMESTEAD EXEMPTION","17252.00","17252.00","33626.00","17252.00","17252.00",".00"
"00000626129030000","2019","1","1","HOMESTEAD EXEMPTION","18279.00","18279.00","34139.00","18279.00","18279.00",".00"
"00000626129040000","2019","1","1","HOMESTEAD EXEMPTION","17276.00","17276.00","33638.00","17276.00","17276.00",".00"
"00000626129050000","2019","1","1","HOMESTEAD EXEMPTION","16150.00","16150.00","33075.00","16150.00","16150.00",".00"
"00000626129060000","2019","1","1","HOMESTEAD EXEMPTION","17609.00","17609.00","33804.00","17609.00","17609.00",".00"
"00000626129070000","2019","1","1","HOMESTEAD EXEMPTION","15167.00","15167.00","32583.00","15167.00","15167.00",".00"
"00000626129080000","2019","1","1","HOMESTEAD EXEMPTION","15428.00","15428.00","32714.00","15428.00","15428.00",".00"
"00000626129100000","2019","1","1","HOMESTEAD EXEMPTION","16323.00","16323.00","33161.00","16323.00","16323.00",".00"
"00000626129110000","2019","1","1","HOMESTEAD EXEMPTION","15428.00","15428.00","32714.00","15428.00","15428.00",".00"
"00000626129130000","2019","1","1","HOMESTEAD EXEMPTION","16280.00","16280.00","33140.00","16280.00","16280.00",".00"
"00000626129160000","2019","1","1","HOMESTEAD EXEMPTION","17238.00","17238.00","33619.00","17238.00","17238.00",".00"
"00000626129190000","2019","1","1","HOMESTEAD EXEMPTION","16214.00","16214.00","33107.00","16214.00","16214.00",".00"
"00000626129200000","2019","1","1","HOMESTEAD EXEMPTION","21021.00","21021.00","35510.00","21021.00","21021.00",".00"
"00000626129210000","2019","1","1","HOMESTEAD EXEMPTION","16312.00","16312.00","33156.00","16312.00","16312.00",".00"
"00000626129230000","2019","1","1","HOMESTEAD EXEMPTION","15806.00","15806.00","32903.00","15806.00","15806.00",".00"
"00000626129240000","2019","1","1","HOMESTEAD EXEMPTION","15428.00","15428.00","32714.00","15428.00","15428.00",".00"
"00000626129250000","2019","1","1","HOMESTEAD EXEMPTION","28864.00","28864.00","39432.00","28864.00","28864.00",".00"
"00000626129260000","2019","1","1","HOMESTEAD EXEMPTION","16150.00","16150.00","33075.00","16150.00","16150.00",".00"
"00000626129280000","2019","1","1","HOMESTEAD EXEMPTION","15428.00","15428.00","32714.00","15428.00","15428.00",".00"
"00000626129290000","2019","1","1","HOMESTEAD EXEMPTION","20955.00","20955.00","35477.00","20955.00","20955.00",".00"
"00000626129310000","2019","1","1","HOMESTEAD EXEMPTION","16150.00","16150.00","33075.00","16150.00","16150.00",".00"
"00000626129320000","2019","1","1","HOMESTEAD EXEMPTION","16754.00","16754.00","33377.00","16754.00","16754.00",".00"
"00000626129360000","2019","1","1","HOMESTEAD EXEMPTION","21216.00","21216.00","35608.00","21216.00","21216.00",".00"
"00000626129380000","2019","1","1","HOMESTEAD EXEMPTION","24508.00","24508.00","37254.00","24508.00","24508.00",".00"
"00000626130030000","2019","1","1","HOMESTEAD EXEMPTION","16307.00","16307.00","33153.00","16307.00","16307.00",".00"
"00000626130040000","2019","1","1","HOMESTEAD EXEMPTION","14987.00","14987.00","32493.00","14987.00","14987.00",".00"
"00000626130050000","2019","1","1","HOMESTEAD EXEMPTION","16041.00","16041.00","33020.00","16041.00","16041.00",".00"
"00000626130060000","2019","1","1","HOMESTEAD EXEMPTION","16312.00","16312.00","33156.00","16312.00","16312.00",".00"
"00000626130070000","2019","1","1","HOMESTEAD EXEMPTION","21551.00","21551.00","35775.00","21551.00","21551.00",".00"
"00000626130100000","2019","1","1","HOMESTEAD EXEMPTION","16613.00","16613.00","33306.00","16613.00","16613.00",".00"
"00000626130120000","2019","1","1","HOMESTEAD EXEMPTION","15721.00","15721.00","32860.00","15721.00","15721.00",".00"
"00000626130130000","2019","1","1","HOMESTEAD EXEMPTION","20222.00","20222.00","35111.00","20222.00","20222.00",".00"
"00000626130160000","2019","1","1","HOMESTEAD EXEMPTION","14987.00","14987.00","32493.00","14987.00","14987.00",".00"
"00000626130170000","2019","1","1","HOMESTEAD EXEMPTION","14872.00","14872.00","32436.00","14872.00","14872.00",".00"
"00000626130180000","2019","1","1","HOMESTEAD EXEMPTION","15900.00","15900.00","32950.00","15900.00","15900.00",".00"
"00000626130200000","2019","1","1","HOMESTEAD EXEMPTION","14994.00","14994.00","32496.00","14994.00","14994.00",".00"
"00000626130310000","2019","1","1","HOMESTEAD EXEMPTION","15857.00","15857.00","32928.00","15857.00","15857.00",".00"
"00000626130320000","2019","1","1","HOMESTEAD EXEMPTION","16994.00","16994.00","33497.00","16994.00","16994.00",".00"
"00000626130330000","2019","1","1","HOMESTEAD EXEMPTION","17353.00","17353.00","33676.00","17353.00","17353.00",".00"
"00000626130350000","2019","1","1","HOMESTEAD EXEMPTION","24316.00","24316.00","37158.00","24316.00","24316.00",".00"
"00000626130360000","2019","1","1","HOMESTEAD EXEMPTION","16387.00","16387.00","33193.00","16387.00","16387.00",".00"
"00000626130370000","2019","1","1","HOMESTEAD EXEMPTION","16703.00","16703.00","33351.00","16703.00","16703.00",".00"
"00000626130380000","2019","1","1","HOMESTEAD EXEMPTION","21881.00","21881.00","35940.00","21881.00","21881.00",".00"
"00000626130390000","2019","1","1","HOMESTEAD EXEMPTION","15900.00","15900.00","32950.00","15900.00","15900.00",".00"
"00000626130400000","2019","1","1","HOMESTEAD EXEMPTION","23212.00","23212.00","36606.00","23212.00","23212.00",".00"
"00000626130430000","2019","1","1","HOMESTEAD EXEMPTION","16964.00","16964.00","33482.00","16964.00","16964.00",".00"
"00000626130440000","2019","1","1","HOMESTEAD EXEMPTION","16325.00","16325.00","33162.00","16325.00","16325.00",".00"
"00000626130450000","2019","1","1","HOMESTEAD EXEMPTION","15993.00","15993.00","32996.00","15993.00","15993.00",".00"
"00000626130490000","2019","1","1","HOMESTEAD EXEMPTION","17505.00","17505.00","33752.00","17505.00","17505.00",".00"
"00000626131030000","2019","1","1","HOMESTEAD EXEMPTION","15913.00","15913.00","32956.00","15913.00","15913.00",".00"
"00000626131060000","2019","1","1","HOMESTEAD EXEMPTION","16134.00","16134.00","33067.00","16134.00","16134.00",".00"
"00000626131090000","2019","1","1","HOMESTEAD EXEMPTION","16653.00","16653.00","33326.00","16653.00","16653.00",".00"
"00000626131180000","2019","1","1","HOMESTEAD EXEMPTION","14324.00","14324.00","32162.00","14324.00","14324.00",".00"
"00000626131210000","2019","1","1","HOMESTEAD EXEMPTION","14223.00","14223.00","32111.00","14223.00","14223.00",".00"
"00000626131270000","2019","1","1","HOMESTEAD EXEMPTION","14358.00","14358.00","32179.00","14358.00","14358.00",".00"
"00000626131330000","2019","1","1","HOMESTEAD EXEMPTION","15271.00","15271.00","32635.00","15271.00","15271.00",".00"
"00000626131360000","2019","1","1","HOMESTEAD EXEMPTION","13506.00","13506.00","31753.00","13506.00","13506.00",".00"
"00000626131390000","2019","1","1","HOMESTEAD EXEMPTION","16868.00","16868.00","33434.00","16868.00","16868.00",".00"
"00000626131420000","2019","1","1","HOMESTEAD EXEMPTION","13147.00","13147.00","31573.00","13147.00","13147.00",".00"
"00000626131510000","2019","1","1","HOMESTEAD EXEMPTION","14499.00","14499.00","32249.00","14499.00","14499.00",".00"
"00000626131570000","2019","1","1","HOMESTEAD EXEMPTION","14499.00","14499.00","32249.00","14499.00","14499.00",".00"
"00000626140000000","2019","1","1","HOMESTEAD EXEMPTION","8036.00","8036.00","30000.00","8036.00","8036.00",".00"
"00000626146000000","2019","1","1","HOMESTEAD EXEMPTION","7924.00","7924.00","30000.00","7924.00","7924.00",".00"
"00000626149000000","2019","1","1","HOMESTEAD EXEMPTION","5648.00","5648.00","28240.00","5648.00","5648.00",".00"
"00000626155000000","2019","1","1","HOMESTEAD EXEMPTION","17008.00","17008.00","33504.00","17008.00","17008.00",".00"
"00000626158000000","2019","1","1","HOMESTEAD EXEMPTION","8934.00","8934.00","30000.00","8934.00","8934.00",".00"
"00000626167000000","2019","1","1","HOMESTEAD EXEMPTION","6672.00","6672.00","30000.00","6672.00","6672.00",".00"
"00000626173000000","2019","1","1","HOMESTEAD EXEMPTION","10148.00","10148.00","30074.00","10148.00","10148.00",".00"
"00000626176000000","2019","1","1","HOMESTEAD EXEMPTION","13194.00","13194.00","31597.00","13194.00","13194.00",".00"
"00000626179000000","2019","1","1","HOMESTEAD EXEMPTION","10782.00","10782.00","30391.00","10782.00","10782.00",".00"
"00000626186000000","2019","1","1","HOMESTEAD EXEMPTION","12220.00","12220.00","31110.00","12220.00","12220.00",".00"
"00000626188000000","2019","1","1","HOMESTEAD EXEMPTION","19054.00","19054.00","34527.00","19054.00","19054.00",".00"
"00000626194000100","2019","1","1","HOMESTEAD EXEMPTION","7906.00","7906.00","30000.00","7906.00","7906.00",".00"
"00000626200000000","2019","1","1","HOMESTEAD EXEMPTION","8514.00","8514.00","30000.00","8514.00","8514.00",".00"
"00000626209000000","2019","1","1","HOMESTEAD EXEMPTION","13208.00","13208.00","31604.00","13208.00","13208.00",".00"
"00000626212000000","2019","1","1","HOMESTEAD EXEMPTION","12012.00","12012.00","31006.00","12012.00","12012.00",".00"
"00000722623000000","2019","1","1","HOMESTEAD EXEMPTION","104810.00","104810.00","64905.00","104810.00","104810.00",".00"
"00000722626000000","2019","1","1","HOMESTEAD EXEMPTION","183776.00","183776.00","116888.00","183776.00","183776.00",".00"
"00000722629000000","2019","1","1","HOMESTEAD EXEMPTION","184650.00","184650.00","117325.00","184650.00","184650.00",".00"
