"TAX_OBJ_ID","ACCOUNT_NUM","APPRAISAL_YR","BLDG_CLASS_DESC","YEAR_BUILT","REMODEL_YR","GROSS_BLDG_AREA","FOUNDATION_TYP_DESC","FOUNDATION_AREA","BASEMENT_DESC","BASEMENT_AREA","NUM_STORIES","CONSTR_TYP_DESC","HEATING_TYP_DESC","AC_TYP_DESC","NUM_UNITS","NET_LEASE_AREA","PROPERTY_NAME","PROPERTY_QUAL_DESC","PROPERTY_COND_DESC","PHYS_DEPR_PCT","FUNCT_DEPR_PCT","EXTRNL_DEPR_PCT","TOT_DEPR_PCT","IMP_VAL","LAND_VAL","MKT_VAL","APPR_METHOD_DESC","COMPARABILITY_CD","PCT_COMPLETE"
"00000481549500000","00000481549500000","2019","CHURCH BUILDING","1988","1988","2573","CONCRETE SLAB","2108","NONE","0","2","D-WOOD FRAME","CENTRAL HEAT","CENTRAL A/C","0","2573","NEW START DELIVERANCE HOLINESS CHURCH","GOOD","GOOD","45.00",".00",".00","45.00","","","","COST","B CLASS","100.00"
"000625000A0010000","000625000A0010000","2019","APARTMENT (BRICK EXTERIOR)","2000","2000","116000","CONCRETE SLAB","58000","UNASSIGNED","0","2","D-WOOD FRAME","CENTRAL HEAT","CENTRAL A/C","152","131078","DHA ROSELAND HOMES","GOOD","GOOD","25.00",".00",".00","25.00","","","","INCOME","TAX CREDIT APT","100.00"
"00834400000010000","00834400000010000","2019","FAST FOOD RESTAURANT","1981","2000","4056","CONCRETE SLAB","4056","NONE","0","1","C-MASONRY, BLOCK, TILT-WALL","CENTRAL HEAT","CENTRAL A/C","0","5496","MCDONALDS","GOOD","GOOD","35.00",".00",".00","35.00","","","","COST","B CLASS","100.00"
"000647001609A0000","000647001609A0000","2019","CHURCH BUILDING","1988","1988","100","CONCRETE SLAB","100","UNASSIGNED","0","2","D-WOOD FRAME","CENTRAL HEAT","CENTRAL A/C","0","1180","EMANUEL LUTHERAN CHURCH","GOOD","GOOD","38.00",".00",".00","38.00","","","","COST","B CLASS","100.00"
"000717001407A9900","000717001407A9900","2019","OFFICE BUILDING","2010","2010","1600","CONCRETE SLAB","6248","NONE","0","1","D-WOOD FRAME","CENTRAL HEAT","CENTRAL A/C","0","1600","RECONCILIATION  MINISTRIES TAXABLE SF","GOOD","GOOD","7.00",".00",".00","7.00","","","","INCOME","B CLASS","100.00"
"32062600020010000","32062600020010000","2019","CHURCH BUILDING","1986","1986","11845","CONCRETE SLAB","11845","NONE","0","1","D-WOOD FRAME","CENTRAL HEAT","CENTRAL A/C","0","18668","OUR REDEEMER LUTHERAN CHURCH","GOOD","GOOD","45.00",".00",".00","45.00","","","","COST","B CLASS","100.00"
"320626500A0010000","320626500A0010000","2019","CHURCH BUILDING","1986","1986","20800","CONCRETE SLAB","20800","NONE","0","1","D-WOOD FRAME","CENTRAL HEAT","CENTRAL A/C","0","35675","ST LUKES CATHOLIC CHURCH","GOOD","GOOD","30.00",".00",".00","30.00","","","","COST","B CLASS","100.00"
"00000491086000000","00000491086000000","2019","MEDICAL OFFICE BUILDING","1992","1992","6896","CONCRETE SLAB","6896","NONE","0","1","D-WOOD FRAME","CENTRAL HEAT","CENTRAL A/C","0","6896","PATIENT PLACE","GOOD","GOOD","50.00",".00",".00","50.00","","","","INCOME","B CLASS","100.00"
"00000467167000101","00000467167000100","2019","FAST FOOD RESTAURANT","1985","1985","652","CONCRETE SLAB","652","UNASSIGNED","0","1","D-WOOD FRAME","CENTRAL HEAT","CENTRAL A/C","0","0","SOUTHERN MAID","AVERAGE","GOOD","80.00",".00",".00","80.00","","","","COST","B CLASS","100.00"
"00000467146000100","00000467146000100","2019","APARTMENT (BRICK EXTERIOR)","2014","2014","204016","CONCRETE SLAB","54836","NONE","0","4","D-WOOD FRAME","CENTRAL HEAT","CENTRAL A/C","161","142035","HIGHPOINT FAMILY APTS/TXA #0000204","AVERAGE","GOOD","5.00",".00",".00","5.00","","","","INCOME","TAX CREDIT APT","100.00"
