"ACCOUNT_NUM","APPRAISAL_YR","SECTION_NUM","SPTD_CD","SPTD_DESC","ZONING","FRONT_DIM","DEPTH_DIM","AREA_SIZE","AREA_UOM_DESC","PRICING_METH_DESC","COST_PER_UOM","MARKET_ADJ_PCT","VAL_AMT","AG_USE_IND","ACCT_AG_VAL_AMT"
"00000295264000000","2019","1","A11","SINGLE FAMILY RESIDENCES","SINGLE FAMILY DISTRICT 7,500 S","0","0","13684.000","UNASSIGNED","FLAT PRICE","23000.00",".25","28750.00","N","0"
"00000295279000000","2019","1","A11","SINGLE FAMILY RESIDENCES","SINGLE FAMILY DISTRICT 7,500 S","50","150","7327.000","SQUARE FEET","FLAT PRICE","23000.00",".00","23000.00","N","0"
"00000295303000000","2019","1","A11","SINGLE FAMILY RESIDENCES","SINGLE FAMILY DISTRICT 7,500 S","50","158","7557.000","SQUARE FEET","FLAT PRICE","23000.00",".00","23000.00","N","0"
"00000295312000000","2019","1","A11","SINGLE FAMILY RESIDENCES","SINGLE FAMILY DISTRICT 7,500 S","50","150","7519.000","SQUARE FEET","FLAT PRICE","23000.00",".00","23000.00","N","0"
"00000295345000000","2019","1","A11","SINGLE FAMILY RESIDENCES","SINGLE FAMILY DISTRICT 7,500 S","50","150","7502.000","SQUARE FEET","FLAT PRICE","23000.00",".00","23000.00","N","0"
"00000295381000000","2019","1","A11","SINGLE FAMILY RESIDENCES","SINGLE FAMILY DISTRICT 7,500 S","50","150","7363.000","SQUARE FEET","FLAT PRICE","23000.00",".00","23000.00","N","0"
"00000295411000000","2019","1","A11","SINGLE FAMILY RESIDENCES","SINGLE FAMILY DISTRICT 7,500 S","50","150","7266.000","SQUARE FEET","FLAT PRICE","23000.00",".00","23000.00","N","0"
"00000295444000000","2019","1","A11","SINGLE FAMILY RESIDENCES","SINGLE FAMILY DISTRICT 7,500 S","60","150","7660.000","SQUARE FEET","FLAT PRICE","23000.00",".00","23000.00","N","0"
"00000295549000000","2019","1","A11","SINGLE FAMILY RESIDENCES","SINGLE FAMILY DISTRICT 7,500 S","50","150","7374.000","SQUARE FEET","FLAT PRICE","23000.00",".00","23000.00","N","0"
"00000295552000000","2019","1","A11","SINGLE FAMILY RESIDENCES","SINGLE FAMILY DISTRICT 7,500 S","50","150","7512.000","SQUARE FEET","FLAT PRICE","23000.00",".00","23000.00","N","0"
