"ACCOUNT_NUM","APPRAISAL_YR","TAX_OBJ_ID","SEQ_NUM","IMPR_TYP_DESC","IMPR_DESC","YR_BUILT","CONSTR_TYP_DESC","FLOOR_TYP_DESC","EXT_WALL_DESC","NUM_STORIES","AREA_SIZE","VAL_AMT","DEPRECIATION_PCT"
"00000133130000200","2019","00000133130000200","1","ATTACHED CARPORT","","2006","UNASSIGNED","UNASSIGNED","FRAME","0","200","4000.00",".00"
"00000133130000200","2019","00000133130000200","2","ATTACHED GARAGE","","1000","FR-FRAME","CONCRETE","UNASSIGNED","0","200","8000.00",".03"
"00000133174000000","2019","00000133174000000","1","UNASSIGNED","STORAGE BLDG.","1000","UNASSIGNED","UNASSIGNED","UNASSIGNED","0","320","500.00",".00"
"00000133390000000","2019","00000133390000000","1","DETACHED QUARTERS","","2018","UNASSIGNED","UNASSIGNED","FRAME","0","834","31275.00",".50"
"00000133393000000","2019","00000133393000000","1","DECK","BALCONY","2016","UNASSIGNED","UNASSIGNED","FRAME","0","1","2000.00",".00"
"00000133408000000","2019","00000133408000000","1","ATTACHED GARAGE","GARAGE","1000","FR-FRAME","CONCRETE","UNASSIGNED","0","240","2166.80",".60"
"00000133408000000","2019","00000133408000000","2","DECK","","1000","UNASSIGNED","UNASSIGNED","FRAME","0","120","900.00",".00"
"00000133420000000","2019","00000133420000000","1","DETACHED GARAGE","GARAGE","1000","MT-METAL","DIRT","UNASSIGNED","0","440","800.00",".75"
"00000133423000000","2019","00000133423000000","1","STORAGE BUILDING","STORAGE BUILDING","1000","UNASSIGNED","UNASSIGNED","FRAME","0","216","650.00",".00"
"00000133489000000","2019","00000133489000000","1","DETACHED GARAGE","GARAGE","1000","FR-FRAME","DIRT","UNASSIGNED","0","288","300.00",".75"
"00000133501000100","2019","00000133501000100","2","ATTACHED GARAGE","","9999","MT-METAL","CONCRETE","UNASSIGNED","0","610","34971.30",".00"
"00000133501000100","2019","00000133501000100","3","DECK","2-STRY DECK 168 SF, PER","2017","UNASSIGNED","UNASSIGNED","FRAME","0","336","8400.00",".00"
"00000133504000100","2019","00000133504000100","2","ATTACHED GARAGE","","9999","MT-METAL","CONCRETE","UNASSIGNED","0","610","34971.30",".00"
"00000133504000100","2019","00000133504000100","3","DECK","2-STRY DECK 168 SF PER","2017","UNASSIGNED","UNASSIGNED","FRAME","0","336","8400.00",".00"
"00000133516000000","2019","00000133516000000","1","ATTACHED GARAGE","","1000","FR-FRAME","CONCRETE","UNASSIGNED","0","552","19177.31",".05"
"00000133516000000","2019","00000133516000000","2","DECK","2ND FLR DECK","2014","UNASSIGNED","UNASSIGNED","FRAME","0","180","4050.00",".00"
"00000133675000000","2019","00000133675000000","1","DETACHED CARPORT","","1000","UNASSIGNED","UNASSIGNED","FRAME","0","180","135.00",".90"
"0000013538800HS00","2019","0000013538800HS00","1","DETACHED GARAGE","","1000","UNASSIGNED","UNASSIGNED","FRAME","0","600","6000.00",".75"
"00000137381000000","2019","00000137381000000","1","ATTACHED GARAGE","GARAGE","1000","FR-FRAME","CONCRETE","UNASSIGNED","0","448",".00",".30"
