"ACCOUNT_NUM","APPRAISAL_YR","TAX_OBJ_ID","BLDG_CLASS_DESC","YR_BUILT","EFF_YR_BUILT","ACT_AGE","DESIRABILITY_RATING","TOT_MAIN_SF","TOT_LIVING_AREA_SF","PCT_COMPLETE","NUM_STORIES_DESC","CONSTR_FRAM_TYP_DESC","FOUNDATION_TYP_DESC","HEATING_TYP_DESC","AC_TYP_DESC","FENCE_TYP_DESC","EXT_WALL_DESC","BASEMENT_DESC","ROOF_TYP_DESC","ROOF_MAT_DESC","NUM_FIREPLACES","NUM_KITCHENS","NUM_FULL_BATHS","NUM_HALF_BATHS","NUM_WET_BARS","NUM_BEDROOMS","SPRINKLER_SYS_IND","DECK_IND","SPA_IND","POOL_IND","SAUNA_IND","MBL_HOME_SER_NUM","MBL_HOME_MANUFCTR","MBL_HOME_LENGTH","MBL_HOME_WIDTH","MBL_HOME_SPACE","DEPRECIATION_PCT"
"00000119395000000","2019","00000119395000000","03","1931","1931","88","POOR","1260","1260","100.00","ONE STORY","FRAME","POST","CENTRAL FULL","CENTRAL FULL","CHAIN","FRAME","NONE","GABLE","COMP SHINGLES","0","2","2","0","0","2","N","N","N","N","N","","","0","0","     ","70.00"
"00000113293000000","2019","00000113293000000","04","1925","1925","94","POOR","1274","1274","100.00","ONE STORY","FRAME","POST","CENTRAL FULL","CENTRAL FULL","CHAIN","FRAME","NONE","GABLE","COMP SHINGLES","1","1","1","0","0","3","N","N","N","N","N","","","0","0","     ","70.00"
"00000120232000000","2019","00000120232000000","04","1914","1914","105","FAIR","1549","1549","100.00","ONE STORY","FRAME","POST","CENTRAL FULL","CENTRAL FULL","CHAIN","FRAME","NONE","HIP","COMP SHINGLES","0","1","1","1","0","2","N","N","N","N","N","","","0","0","     ","60.00"
"00000121423000000","2019","00000121423000000","04","1911","1911","108","FAIR","1180","1180","100.00","ONE STORY","FRAME","POST","CENTRAL FULL","CENTRAL FULL","CHAIN","FRAME","NONE","GABLE","COMP SHINGLES","1","1","1","0","0","2","N","N","N","N","N","","","0","0","     ","60.00"
"00000121489000000","2019","00000121489000000","04","1913","1913","106","FAIR","1590","1590","100.00","ONE STORY","FRAME","POST","CENTRAL FULL","CENTRAL FULL","NONE","FRAME","NONE","GABLE","COMP SHINGLES","0","1","2","0","0","2","N","N","N","N","N","","","0","0","     ","60.00"
"00000121738000000","2019","00000121738000000","04","1913","1913","106","FAIR","1528","1528","100.00","ONE STORY","FRAME","POST","CENTRAL FULL","CENTRAL FULL","CHAIN","FRAME","NONE","HIP","COMP SHINGLES","0","1","3","0","0","4","N","N","N","N","N","","","0","0","     ","60.00"
"00000121273000000","2019","00000121273000000","04","1923","1923","96","FAIR","1176","1176","100.00","ONE STORY","FRAME","POST","CENTRAL FULL","CENTRAL FULL","CHAIN","FRAME","NONE","GABLE","COMP SHINGLES","1","1","1","1","0","0","N","N","N","N","N","","","0","0","     ","60.00"
"00000121471000000","2019","00000121471000000","04","1913","1913","106","FAIR","1324","1324","100.00","ONE STORY","FRAME","POST","CENTRAL FULL","CENTRAL FULL","NONE","FRAME","NONE","GABLE","COMP SHINGLES","0","1","2","0","0","3","N","N","N","N","N","","","0","0","     ","60.00"
"00000123142000000","2019","00000123142000000","04","1913","1913","106","FAIR","768","768","100.00","ONE STORY","FRAME","POST","CENTRAL FULL","CENTRAL FULL","CHAIN","FRAME","NONE","HIP","ALUMINIUM","1","1","1","0","0","1","N","N","N","N","N","","","0","0","     ","60.00"
"00000121753000000","2019","00000121753000000","04","1910","1910","109","FAIR","1284","1284","100.00","ONE STORY","FRAME","POST","CENTRAL FULL","CENTRAL FULL","CHAIN","FRAME","NONE","GABLE","COMP SHINGLES","0","1","1","0","0","3","N","N","N","N","N","","","0","0","     ","60.00"
