"","Acct","Permit_Type","PermitDate","Mapsco","Permit_Date","Count_Permits","Days_Since_Permit"
"1","00000292636000000","Building (BU) Commercial  Addition","2018/02/07 00:00:00","53-L",2018-02-07,3,1151
"2","00000292633000000","Building (BU) Commercial  Addition","2018/02/07 00:00:00","53-L",2018-02-07,3,1151
"3","00000169930000000","Building (BU) Commercial  Addition","2018/04/19 00:00:00","46-T",2018-04-19,1,1080
"4","00000138064000000","Building (BU) Commercial  Addition","2018/06/15 00:00:00","45-A,45-B",2018-06-15,3,1023
"5","001005000B0010000","Building (BU) Commercial  Addition","2018/06/15 00:00:00","45-A,45-B",2018-06-15,3,1023
"6","00000135160000000","Building (BU) Commercial  Addition","2018/06/15 00:00:00","45-A,45-B",2018-06-15,3,1023
"7","00000138064000000","Building (BU) Commercial  Addition","2018/06/15 00:00:00","45-A,45-B",2018-06-15,3,1023
"8","001005000B0010000","Building (BU) Commercial  Addition","2018/06/15 00:00:00","45-A,45-B",2018-06-15,3,1023
"9","00000135160000000","Building (BU) Commercial  Addition","2018/06/15 00:00:00","45-A,45-B",2018-06-15,3,1023
"10","00000292636000000","Building (BU) Commercial  Addition","2018/02/07 00:00:00","53-L",2018-02-07,3,1151
"11","00000292633000000","Building (BU) Commercial  Addition","2018/02/07 00:00:00","53-L",2018-02-07,3,1151
"12","00000137503000000","Building (BU) Commercial  Addition","2018/05/25 00:00:00","35-X",2018-05-25,1,1044
"13","00000248752000000","Building (BU) Commercial  Addition","2018/06/12 00:00:00","27-Z",2018-06-12,2,1026
"14","00000292636000000","Building (BU) Commercial  Addition","2018/02/07 00:00:00","53-L",2018-02-07,3,1151
"15","00000292633000000","Building (BU) Commercial  Addition","2018/02/07 00:00:00","53-L",2018-02-07,3,1151
"16","00000138064000000","Building (BU) Commercial  Addition","2018/06/15 00:00:00","45-A,45-B",2018-06-15,3,1023
"17","001005000B0010000","Building (BU) Commercial  Addition","2018/06/15 00:00:00","45-A,45-B",2018-06-15,3,1023
"18","00000135160000000","Building (BU) Commercial  Addition","2018/06/15 00:00:00","45-A,45-B",2018-06-15,3,1023
"19","00000248752000000","Building (BU) Commercial  Addition","2018/06/12 00:00:00","27-Z",2018-06-12,2,1026
"20","0064990D000010000","Building (BU) Commercial  Addition","2018/11/28 00:00:00","22-Z",2018-11-28,1,857
"21","006499000D0030000","Building (BU) Commercial  Addition","2018/11/28 00:00:00","22-Z",2018-11-28,2,857
"22","00000611278000000","Building (BU) Commercial  Addition","2018/01/17 00:00:00","53-T",2018-01-17,2,1172
"23","00000611281000000","Building (BU) Commercial  Addition","2018/01/17 00:00:00","53-T",2018-01-17,2,1172
"24","00000611278000000","Building (BU) Commercial  Addition","2018/01/17 00:00:00","53-T",2018-01-17,2,1172
"25","00000611281000000","Building (BU) Commercial  Addition","2018/01/17 00:00:00","53-T",2018-01-17,2,1172
"26","00000725176000000","Building (BU) Commercial  Addition","2018/02/02 00:00:00","38-Z",2018-02-02,2,1156
"27","00000725176000000","Building (BU) Commercial  Addition","2018/02/02 00:00:00","38-Z",2018-02-02,2,1156
"28","00000103984000000","Building (BU) Commercial  Addition","2018/07/03 00:00:00","45-M",2018-07-03,2,1005
"29","00000103879000000","Building (BU) Commercial  Addition","2018/01/02 00:00:00","45-M",2018-01-02,3,1187
"30","00000103879000000","Building (BU) Commercial  Addition","2018/01/02 00:00:00","45-M",2018-01-02,3,1187
"31","00000478999000000","Building (BU) Commercial  Addition","2018/03/14 00:00:00","64-D,65-A",2018-03-14,5,1116
"32","00000478999000000","Building (BU) Commercial  Addition","2018/03/14 00:00:00","64-D,65-A",2018-03-14,5,1116
"33","00000569725000000","Building (BU) Commercial  Addition","2018/01/03 00:00:00","58-R,58-V",2018-01-03,5,1186
"34","00000569725000000","Building (BU) Commercial  Addition","2018/01/03 00:00:00","58-R,58-V",2018-01-03,5,1186
"35","001491000E10A0000","Building (BU) Commercial  Addition","2018/03/30 00:00:00","36-W",2018-03-30,4,1100
"36","001491000E10A0000","Building (BU) Commercial  Addition","2018/03/30 00:00:00","36-W",2018-03-30,4,1100
"37","001491000E10A0000","Building (BU) Commercial  Addition","2018/03/30 00:00:00","36-W",2018-03-30,4,1100
"38","001491000E10A0000","Building (BU) Commercial  Addition","2018/03/30 00:00:00","36-W",2018-03-30,4,1100
"39","00000569725000000","Building (BU) Commercial  Addition","2018/01/03 00:00:00","58-R,58-V",2018-01-03,5,1186
"40","00000569725000000","Building (BU) Commercial  Addition","2018/01/03 00:00:00","58-R,58-V",2018-01-03,5,1186
"41","00000569725000000","Building (BU) Commercial  Addition","2018/01/03 00:00:00","58-R,58-V",2018-01-03,5,1186
"42","00000750823000000","Building (BU) Commercial  Addition","2018/05/02 00:00:00","74-A",2018-05-02,18,1067
"43","00000790552500000","Building (BU) Commercial  Addition","2018/01/17 00:00:00","28-J",2018-01-17,1,1172
"44","001342003901A0000","Building (BU) Commercial  Addition","2018/01/12 00:00:00","35-W",2018-01-12,2,1177
"45","001342003901A0000","Building (BU) Commercial  Addition","2018/01/12 00:00:00","35-W",2018-01-12,2,1177
"46","00000750823000000","Building (BU) Commercial  Addition","2018/05/02 00:00:00","74-A",2018-05-02,18,1067
"47","00000750823000000","Building (BU) Commercial  Addition","2018/05/02 00:00:00","74-A",2018-05-02,18,1067
"48","00000750823000000","Building (BU) Commercial  Addition","2018/05/02 00:00:00","74-A",2018-05-02,18,1067
"49","0079400N0002B0000","Building (BU) Commercial  Addition","2018/02/13 00:00:00","33-U,33-V",2018-02-13,3,1145
"50","0079400N0002B0000","Building (BU) Commercial  Addition","2018/02/13 00:00:00","33-U,33-V",2018-02-13,3,1145
"51","0079400N0002B0000","Building (BU) Commercial  Addition","2018/02/13 00:00:00","33-U,33-V",2018-02-13,3,1145
"52","00298400070010000","Building (BU) Commercial  Addition","2018/02/01 00:00:00","37-J,37-N",2018-02-01,3,1157
"53","00298400070010000","Building (BU) Commercial  Addition","2018/02/01 00:00:00","37-J,37-N",2018-02-01,3,1157
"54","00298400070010000","Building (BU) Commercial  Addition","2018/02/01 00:00:00","37-J,37-N",2018-02-01,3,1157
"55","00000254719000000","Building (BU) Commercial  Addition","2018/12/18 00:00:00","54-C",2018-12-18,3,837
"56","00000254722000000","Building (BU) Commercial  Addition","2018/12/18 00:00:00","54-C",2018-12-18,3,837
"57","00000254719000000","Building (BU) Commercial  Addition","2018/12/18 00:00:00","54-C",2018-12-18,3,837
"58","00000254722000000","Building (BU) Commercial  Addition","2018/12/18 00:00:00","54-C",2018-12-18,3,837
"59","00000108793000000","Building (BU) Commercial  Addition","2018/01/05 00:00:00","45-J",2018-01-05,3,1184
"60","00000108793000000","Building (BU) Commercial  Addition","2018/01/05 00:00:00","45-J",2018-01-05,3,1184
"61","00000108793000000","Building (BU) Commercial  Addition","2018/01/05 00:00:00","45-J",2018-01-05,3,1184
"62","00000359323000000","Building (BU) Commercial  Addition","2018/01/08 00:00:00","24-T,24-X",2018-01-08,2,1181
"63","003153003309A0000","Building (BU) Commercial  Addition","2018/02/27 00:00:00","54-C",2018-02-27,1,1131
"64","00000579092000000","Building (BU) Commercial  Addition","2018/01/08 00:00:00","25-E",2018-01-08,1,1181
"65","00000579092100000","Building (BU) Commercial  Addition","2018/01/08 00:00:00","25-E",2018-01-08,1,1181
"66","00000604420000000","Building (BU) Commercial  Addition","2018/04/16 00:00:00","22-C,22-D",2018-04-16,3,1083
"67","00000604490000000","Building (BU) Commercial  Addition","2018/04/16 00:00:00","22-C,22-D",2018-04-16,3,1083
"68","008120000A0010000","Building (BU) Commercial  Addition","2018/06/29 00:00:00","27-P,27-Q,27-T,27-U",2018-06-29,3,1009
"69","008120000A0010000","Building (BU) Commercial  Addition","2018/06/29 00:00:00","27-P,27-Q,27-T,27-U",2018-06-29,3,1009
"70","008120000A0010000","Building (BU) Commercial  Addition","2018/06/29 00:00:00","27-P,27-Q,27-T,27-U",2018-06-29,3,1009
"71","00000549325000000","Building (BU) Commercial  Addition","2018/01/19 00:00:00","57-L,57-M",2018-01-19,1,1170
"72","007609000A0010000","Building (BU) Commercial  Addition","2018/03/16 00:00:00","75-D",2018-03-16,1,1114
"73","00000634150000000","Building (BU) Commercial  Addition","2018/02/08 00:00:00","44-M",2018-02-08,1,1150
"74","001401000011B0000","Building (BU) Commercial  Addition","2018/02/02 00:00:00","46-L",2018-02-02,1,1156
"75","007410000A0030000","Building (BU) Commercial  Addition","2018/06/18 00:00:00","15-K,15-P",2018-06-18,4,1020
"76","007410000A0030000","Building (BU) Commercial  Addition","2018/06/18 00:00:00","15-K,15-P",2018-06-18,4,1020
"77","007410000A0030000","Building (BU) Commercial  Addition","2018/06/18 00:00:00","15-K,15-P",2018-06-18,4,1020
"78","00000778279000000","Building (BU) Commercial  Addition","2018/04/04 00:00:00","33-R",2018-04-04,1,1095
"79","00000778273000000","Building (BU) Commercial  Addition","2018/04/04 00:00:00","33-R",2018-04-04,1,1095
"80","007410000A0030000","Building (BU) Commercial  Addition","2018/06/18 00:00:00","15-K,15-P",2018-06-18,4,1020
"81","00000750718101100","Building (BU) Commercial  Addition","2018/03/26 00:00:00","73-C",2018-03-26,2,1104
"82","003367000A06A0000","Building (BU) Commercial  Addition","2018/08/09 00:00:00","54-D",2018-08-09,3,968
"83","00000352798000000","Building (BU) Commercial  Addition","2018/04/18 00:00:00","34-C",2018-04-18,1,1081
"84","00000352795000000","Building (BU) Commercial  Addition","2018/04/18 00:00:00","34-C",2018-04-18,1,1081
"85","007437000A0050000","Building (BU) Commercial  Addition","2018/03/15 00:00:00","15-P",2018-03-15,2,1115
"86","005283000A0010000","Building (BU) Commercial  Addition","2018/05/04 00:00:00","37-Z",2018-05-04,1,1065
"87","00840200000010000","Building (BU) Commercial  Addition","2018/04/23 00:00:00","14-V,14-Z",2018-04-23,2,1076
"88","00840200000010000","Building (BU) Commercial  Addition","2018/04/23 00:00:00","14-V,14-Z",2018-04-23,2,1076
"89","002912000H08A0000","Building (BU) Commercial  Addition","2018/03/19 00:00:00","36-P",2018-03-19,1,1111
"90","00LOVEFLD00000000","Building (BU) Commercial  Addition","2018/09/12 00:00:00","23-Y,33-D,33-G,33-H,34-E,34-F,34-P",2018-09-12,14,934
"91","00LOVEFLD00000000","Building (BU) Commercial  Addition","2018/09/12 00:00:00","23-Y,33-D,33-G,33-H,34-E,34-F,34-P",2018-09-12,14,934
"92","00000778780000000","Building (BU) Commercial  Addition","2018/09/05 00:00:00","32-V,33-S",2018-09-05,3,941
"93","00000700246000000","Building (BU) Commercial  Addition","2018/06/20 00:00:00","43-N",2018-06-20,4,1018
"94","00000700246000000","Building (BU) Commercial  Addition","2018/06/20 00:00:00","43-N",2018-06-20,4,1018
"95","CONDO00C3945CONDO","Building (BU) Commercial  Addition","2018/06/15 00:00:00","35-V",2018-06-15,2,1023
"96","00000700246000000","Building (BU) Commercial  Addition","2018/06/20 00:00:00","43-N",2018-06-20,4,1018
"97","CONDO00C3945CONDO","Building (BU) Commercial  Addition","2018/06/15 00:00:00","35-V",2018-06-15,2,1023
"98","00000766876000000","Building (BU) Commercial  Addition","2018/07/18 00:00:00","33-W,43-A",2018-07-18,2,990
"99","007705000C04A0000","Building (BU) Commercial  Addition","2018/07/18 00:00:00","33-W,43-A",2018-07-18,2,990
"100","00077400060050000","Building (BU) Commercial  Addition","2018/05/03 00:00:00","46-E",2018-05-03,2,1066
"101","00000766876000000","Building (BU) Commercial  Addition","2018/07/18 00:00:00","33-W,43-A",2018-07-18,2,990
"102","007705000C04A0000","Building (BU) Commercial  Addition","2018/07/18 00:00:00","33-W,43-A",2018-07-18,2,990
"103","00LOVEFLD00000000","Building (BU) Commercial  Addition","2018/09/12 00:00:00","23-Y,33-D,33-G,33-H,34-E,34-F,34-P",2018-09-12,14,934
"104","00000700246000000","Building (BU) Commercial  Addition","2018/06/20 00:00:00","43-N",2018-06-20,4,1018
"105","008721000G0120000","Building (BU) Commercial  Addition","2018/09/25 00:00:00","61B-W,61B-X,71B-A,71B-B",2018-09-25,1,921
"106","008721000G12A0000","Building (BU) Commercial  Addition","2018/09/25 00:00:00","61B-W,61B-X,71B-A,71B-B",2018-09-25,1,921
"107","00000282994000000","Building (BU) Commercial  Addition","2018/07/05 00:00:00","55-S",2018-07-05,5,1003
"108","00000282991000000","Building (BU) Commercial  Addition","2018/07/05 00:00:00","55-S",2018-07-05,5,1003
"109","00000282988000000","Building (BU) Commercial  Addition","2018/07/05 00:00:00","55-S",2018-07-05,6,1003
"110","00000681283000000","Building (BU) Commercial  Addition","2018/06/14 00:00:00","43-H",2018-06-14,2,1024
"111","00000496240000000","Building (BU) Commercial  Addition","2018/08/22 00:00:00","63-B,63-F",2018-08-22,6,955
