"","Acct","days_from_CO_appro_to_issue","days_from_CO_appro_to_issue_scaled","count_COs","count_COs_scaled","days_since_issue","days_since_issue_scaled","CO_type","CO_sqft","CO_sqft_scaled","occupancy","CO_code_distr"
"1","00000100096000000",984,1.02408021777554,2,0.768976256946041,465,4.46138253352526,2,1400,0.0192245778070008,2,3
"2","00000100105000000",80,0.0832585542906946,1,0.38448812847302,721,6.91754151972411,2,NA,NA,2,3
"3","00000100138000000",137,0.142580274222815,1,0.38448812847302,640,6.14039746549713,2,6217,0.0853708573043743,2,4
"4","00000100141000000",137,0.142580274222815,1,0.38448812847302,640,6.14039746549713,2,6217,0.0853708573043743,2,4
"5","00000100171000000",80,0.0832585542906946,1,0.38448812847302,721,6.91754151972411,2,NA,NA,2,3
"6","00000100192000000",108,0.112399048292438,4,1.53795251389208,392,3.76099344761699,2,4000,0.0549273651628594,4,3
"7","00000100195000000",108,0.112399048292438,1,0.38448812847302,392,3.76099344761699,2,4000,0.0549273651628594,4,3
"8","00000100216000000",1,0.00104073192863368,3,1.15346438541906,420,4.02963583673249,2,NA,NA,2,3
"9","00000100390000000",1,0.00104073192863368,10,3.8448812847302,455,4.36543882312687,2,2098,0.0288094030279198,7,3
"10","00000100445000000",10,0.0104073192863368,15,5.7673219270953,379,3.63626662409908,2,600,0.00823910477442891,2,3
"11","00000100528000000",1,0.00104073192863368,1,0.38448812847302,680,6.5241723070907,2,NA,NA,27,3
"12","00000100656000000",0,0,1,0.38448812847302,401,3.84734278697555,3,NA,NA,23,5
"13","00000100696000000",198,0.206064921869469,1,0.38448812847302,603,5.78540573702308,2,3984,0.054707655702208,4,3
"14","00000100714000000",198,0.206064921869469,1,0.38448812847302,603,5.78540573702308,2,3984,0.054707655702208,4,3
"15","00000100741000000",407,0.423577894953909,1,0.38448812847302,561,5.38244215334983,2,10,0.000137318412907149,28,3
"16","00000100747000000",0,0,2,0.768976256946041,375,3.59788913993972,3,NA,NA,2,5
"17","00000100762000000",0,0,3,1.15346438541906,375,3.59788913993972,3,NA,NA,2,5
