"","Shape_STAr","Shape_STLe","Acct","count_of_311"
"1",697968.874023,3397.10911949,"00000101154000000",15.9625493147533
"2",2080.70019531,375.294505745,"002026000803C0000",6.2462149492513
"3",2084.31152344,374.915530639,"002026000802C0000",6.2462149492513
"4",2466.70410156,402.999015272,"002026000802B0000",6.2462149492513
"5",2474.43066406,403.72140893,"002026000803B0000",6.2462149492513
"6",2616.6015625,375.021458598,"002026000802A0000",6.2462149492513
"7",2627.82226563,375.745251622,"002026000803A0000",6.2462149492513
"8",2652.15917969,234.242440584,"002026000801E0000",6.2462149492513
"9",4326.23242188,334.966792289,"00000606906420000",4.85816718275101
"10",9204.84082031,406.854522361,"00000606906400000",4.85816718275101
"11",7746.43164063,402.655542719,"00000282679000000",4.16414329950086
"12",8462.19921875,390.525792255,"00000397711000000",4.16414329950086
"13",8964.22167969,389.039125713,"00000398077000000",4.16414329950086
"14",14433.3896484,478.045658299,"004290000201A0000",4.16414329950086
"15",24368.4726563,693.719338643,"00000370936000000",4.16414329950086
"16",25151.2646484,694.962938749,"00000370939000000",4.16414329950086
"17",45064.6835938,921.06471565,"00000322084000000",4.16414329950086
"18",4568.60253906,276.651956227,"00000159334000000",3.47011941625072
"19",4613.09375,339.616991251,"00000606906480100",3.47011941625072
"20",4876.15136719,343.440752662,"00000606906460000",3.47011941625072
"21",5320.48339844,373.714915473,"0065950A020060100",3.47011941625072
"22",7134.9765625,385.399239479,"00000121405000000",3.47011941625072
"23",7268.26171875,395.937082168,"00000282682000000",3.47011941625072
"24",7592.92773438,373.089140098,"00000627805000000",3.47011941625072
"25",8387.9296875,438.022823138,"00000232795000000",3.47011941625072
"26",8860.81835938,397.856947958,"00000382234000000",3.47011941625072
"27",10977.7460938,451.638916996,"00000262765000000",3.47011941625072
"28",14611.3808594,489.189556629,"00000396061000000",3.47011941625072
"29",4585.74511719,337.67028469,"00000607010400000",2.77609553300058
"30",4787.97558594,341.84784158,"00000606906420100",2.77609553300058
"31",4997.29492188,368.777274154,"00000606905020000",2.77609553300058
"32",5011.57910156,369.564691434,"00000606905100000",2.77609553300058
"33",6080.93554688,381.729924744,"00000263338000000",2.77609553300058
"34",6353.31347656,365.634675675,"00000227440000000",2.77609553300058
"35",6504.23242188,387.445598873,"00000263341000000",2.77609553300058
"36",6892.7109375,338.884447786,"00000526369000000",2.77609553300058
"37",7068.34472656,380.447079694,"00000124321000000",2.77609553300058
"38",7125.01367188,385.000142985,"00000570901000000",2.77609553300058
"39",7135.01171875,385.399946577,"00000121408000000",2.77609553300058
"40",7406.87597656,364.985440597,"00000397621000000",2.77609553300058
"41",7468.94335938,401.621411222,"00000281779000000",2.77609553300058
"42",7482.484375,369.1206027,"00000557245000000",2.77609553300058
"43",7516.54785156,400.660461693,"00000262759000000",2.77609553300058
"44",7679.06835938,404.421033978,"00000281791000000",2.77609553300058
